-0.11,1.02,-0.65
-0.16,0.99,-0.64
-0.17,0.99,-0.63
-0.18,0.99,-0.62
-0.19,0.99,-0.60
-0.22,0.99,-0.58
-0.24,0.99,-0.56
-0.25,0.00,-0.53
-0.26,1.01,-0.50
-0.31,1.05,-0.45
-0.34,1.06,-0.42
-0.37,1.07,-0.39
-0.36,1.09,-0.36
-0.37,1.11,-0.35
-0.40,1.15,-0.32
-0.41,1.18,-0.32
-0.43,1.19,-0.32
-0.45,1.18,-0.30
-0.45,1.18,-0.30
-0.44,1.18,-0.30
-0.41,1.20,-0.28
-0.41,1.21,-0.28
-0.39,1.20,-0.28
-0.38,1.19,-0.26
-0.36,1.17,-0.25
-0.34,1.14,-0.26
-0.34,1.10,-0.26
-0.32,1.06,-0.24
-0.30,1.03,-0.24
-0.27,0.97,-0.24
-0.25,0.95,-0.25
-0.24,0.92,-0.26
-0.23,0.89,-0.28
-0.21,0.85,-0.26
-0.20,0.83,-0.23
-0.18,0.83,-0.19
-0.16,0.83,-0.17
-0.16,0.83,-0.15
-0.17,0.81,-0.10
-0.14,0.84,-0.08
-0.10,0.88,-0.04
-0.04,0.92,0.00
0.02,0.94,0.04
0.07,0.96,0.08
0.14,0.96,0.11
0.21,0.98,0.12
0.32,0.97,0.09
0.39,0.96,0.05
0.47,0.96,0.02
0.52,0.94,-0.02
0.57,0.93,-0.04
0.60,0.91,-0.06
0.61,0.87,-0.12
0.62,0.81,-0.20
0.67,0.70,-0.39
0.67,0.63,-0.48
0.63,0.54,-0.60
0.56,0.44,-0.71
0.49,0.33,-0.76
0.40,0.22,-0.80
0.30,0.12,-0.80
0.20,0.04,-0.81
0.14,-0.02,-0.80
0.01,-0.11,-0.72
-0.03,-0.16,-0.64
-0.06,-0.17,-0.54
-0.10,-0.17,-0.46
-0.14,-0.17,-0.38
-0.18,-0.16,-0.30
-0.22,-0.13,-0.20
-0.24,-0.08,-0.12
-0.32,0.04,0.05
-0.35,0.09,0.14
-0.36,0.15,0.22
-0.34,0.20,0.30
-0.36,0.26,0.37
-0.35,0.30,0.45
-0.30,0.36,0.52
-0.28,0.41,0.57
-0.28,0.45,0.60
-0.32,0.51,0.61
-0.35,0.56,0.60
-0.41,0.60,0.60
-0.48,0.65,0.58
-0.55,0.69,0.56
-0.59,0.73,0.55
-0.62,0.76,0.53
-0.65,0.78,0.49
-0.69,0.81,0.45
-0.78,0.90,0.39
-0.81,0.96,0.36
-0.86,1.00,0.34
-0.92,1.04,0.35
-0.96,1.08,0.39
-0.99,1.11,0.43
-1.02,1.16,0.48
-1.04,1.21,0.53
-1.09,1.28,0.62
-1.12,1.31,0.65
-1.18,1.33,0.68
-1.25,1.36,0.71
-1.34,1.38,0.77
-1.46,1.39,0.84
-1.58,1.40,0.89
-1.69,1.41,0.93
-1.81,1.41,0.98
-2.09,1.44,0.00
-2.25,1.46,0.00
-2.39,1.48,0.99
-2.59,1.51,0.00
-2.80,1.51,0.96
-2.97,1.52,0.95
-3.12,1.53,0.99
-3.29,1.53,1.01
-3.48,1.53,1.02
-3.93,1.55,1.05
-4.25,1.58,1.06
-4.61,1.60,1.06
-4.92,1.60,1.00
-5.13,1.59,0.92
-5.25,1.57,0.88
-5.29,1.57,0.87
-5.44,1.69,0.80
-5.57,1.76,0.77
-5.74,1.86,0.77
-5.93,1.96,0.78
-6.02,2.04,0.83
-6.07,2.11,0.87
-6.08,2.20,0.85
-6.11,2.27,0.83
-6.12,2.39,0.81
-6.12,2.62,0.79
-6.06,2.70,0.81
-5.99,2.76,0.84
-5.92,2.80,0.83
-5.87,2.81,0.77
-5.79,2.80,0.66
-5.67,2.77,0.53
-5.51,2.71,0.39
-5.27,2.65,0.27
-4.78,2.55,0.12
-4.56,2.50,0.05
-4.34,2.42,-0.01
-4.13,2.35,-0.08
-3.94,2.26,-0.16
-3.77,2.19,-0.23
-3.57,2.11,-0.33
-3.37,2.04,-0.41
-3.19,1.96,-0.49
-2.92,1.80,-0.53
-2.83,1.70,-0.55
-2.76,1.58,-0.52
-2.66,1.48,-0.52
-2.57,1.37,-0.52
-2.51,1.24,-0.51
-2.46,1.12,-0.52
-2.44,1.02,-0.53
-2.40,0.88,-0.50
-2.35,0.39,-0.43
-2.30,0.19,-0.37
-2.26,-0.02,-0.33
-2.23,-0.23,-0.28
-2.25,-0.47,-0.23
-2.31,-0.68,-0.18
-2.44,-0.95,-0.09
-2.57,-1.29,0.00
-2.60,-1.58,0.07
-2.56,-2.11,0.15
-2.41,-2.29,0.16
-2.25,-2.42,0.14
-2.06,-2.51,0.11
-1.83,-2.55,0.07
-1.58,-2.55,0.01
-1.38,-2.52,-0.04
-1.08,-2.29,-0.13
-1.01,-2.13,-0.15
-1.02,-1.95,-0.15
-1.08,-1.76,-0.12
-1.16,-1.57,-0.08
-1.24,-1.38,-0.05
-1.28,-1.19,-0.02
-1.31,-1.01,0.01
-1.33,-0.83,0.03
-1.33,-0.50,0.06
-1.31,-0.33,0.07
-1.26,-0.18,0.07
-1.22,-0.04,0.06
-1.15,0.09,0.06
-1.06,0.21,0.07
-0.97,0.32,0.06
-0.86,0.43,0.07
-0.77,0.52,0.10
-0.68,0.65,0.17
-0.64,0.71,0.20
-0.59,0.74,0.23
-0.54,0.77,0.24
-0.46,0.80,0.25
-0.39,0.82,0.26
-0.32,0.84,0.31
-0.24,0.85,0.35
-0.06,0.87,0.40
0.06,0.91,0.42
0.20,0.96,0.44
0.34,1.00,0.47
0.46,1.03,0.50
0.59,1.06,0.53
0.69,1.11,0.56
0.75,1.15,0.58
0.82,1.21,0.59
0.83,1.21,0.60
0.84,1.19,0.61
0.84,1.15,0.60
0.82,1.12,0.61
0.77,1.09,0.61
0.73,1.08,0.61
0.71,1.10,0.59
0.69,1.13,0.52
0.69,1.10,0.50
0.69,1.08,0.46
0.68,1.05,0.42
0.67,1.03,0.39
0.65,1.00,0.36
0.63,0.98,0.35
0.59,0.97,0.36
0.57,0.92,0.39
0.56,0.90,0.42
0.55,0.89,0.44
0.53,0.87,0.45
0.50,0.88,0.46
0.48,0.89,0.47
0.46,0.90,0.47
0.44,0.90,0.47
0.41,0.91,0.46
0.37,0.89,0.47
0.37,0.86,0.49
0.38,0.84,0.52
0.39,0.83,0.52
0.41,0.84,0.51
0.44,0.86,0.49
0.45,0.87,0.47
0.46,0.91,0.43
0.45,0.92,0.42
0.44,0.93,0.40
0.45,0.95,0.39
0.45,0.97,0.39
0.46,0.00,0.38
0.45,1.02,0.37
0.43,1.04,0.36
0.41,1.05,0.34
0.39,1.05,0.33
0.31,1.05,0.31
0.30,1.05,0.30
0.29,1.04,0.31
0.28,1.04,0.31
0.28,1.03,0.31
0.29,1.02,0.31
0.30,1.02,0.29
0.30,1.01,0.25
0.31,1.00,0.24
0.30,1.01,0.22
0.29,0.00,0.22
