0.59,0.94,0.37
0.60,0.94,0.34
0.64,0.95,0.30
0.66,0.95,0.26
0.68,0.95,0.23
0.68,0.94,0.21
0.67,0.93,0.21
0.58,0.87,0.21
0.53,0.84,0.21
0.49,0.81,0.21
0.45,0.80,0.20
0.43,0.79,0.20
0.42,0.80,0.19
0.41,0.82,0.19
0.41,0.88,0.18
0.41,0.89,0.18
0.41,0.89,0.18
0.40,0.89,0.18
0.39,0.88,0.17
0.37,0.86,0.17
0.35,0.84,0.18
0.33,0.82,0.18
0.30,0.79,0.16
0.31,0.77,0.14
0.33,0.76,0.11
0.37,0.76,0.05
0.42,0.78,-0.02
0.45,0.80,-0.11
0.49,0.82,-0.20
0.50,0.84,-0.31
0.51,0.86,-0.42
0.53,0.94,-0.67
0.53,0.97,-0.78
0.51,0.98,-0.87
0.48,0.97,-0.94
0.43,0.96,-1.00
0.39,0.97,-1.06
0.34,0.98,-1.10
0.31,0.99,-1.13
0.28,1.01,-1.14
0.28,1.07,-1.14
0.28,1.11,-1.12
0.28,1.14,-1.08
0.27,1.17,-1.02
0.25,1.19,-0.97
0.22,1.22,-0.91
0.19,1.25,-0.84
0.17,1.29,-0.77
0.14,1.41,-0.59
0.11,1.48,-0.51
0.08,1.55,-0.43
0.04,1.61,-0.36
0.01,1.70,-0.29
-0.02,1.77,-0.20
-0.04,1.83,-0.11
-0.06,1.88,-0.05
-0.09,1.92,0.02
-0.20,1.98,0.12
-0.24,1.99,0.16
-0.28,2.01,0.19
-0.32,2.02,0.23
-0.35,2.04,0.25
-0.36,2.05,0.28
-0.39,2.02,0.32
-0.44,1.97,0.37
-0.55,1.84,0.45
-0.60,1.77,0.48
-0.63,1.67,0.52
-0.65,1.57,0.56
-0.65,1.46,0.60
-0.66,1.35,0.64
-0.68,1.24,0.68
-0.70,1.14,0.71
-0.72,1.04,0.76
-0.76,0.89,0.85
-0.77,0.83,0.90
-0.80,0.77,0.94
-0.82,0.72,0.98
-0.84,0.67,1.03
-0.85,0.63,1.06
-0.87,0.58,1.10
-0.90,0.56,1.12
-0.91,0.54,1.11
-0.92,0.52,1.12
-0.93,0.52,1.15
-0.96,0.55,1.18
-0.99,0.59,1.21
-1.01,0.60,1.24
-1.04,0.61,1.26
-1.05,0.62,1.26
-1.06,0.64,1.26
-1.17,0.66,1.26
-1.25,0.68,1.25
-1.34,0.71,1.24
-1.43,0.75,1.25
-1.52,0.80,1.28
-1.61,0.85,1.32
-1.71,0.91,1.36
-1.81,0.97,1.42
-2.07,1.07,1.53
-2.21,1.12,1.58
-2.36,1.16,1.62
-2.50,1.20,1.67
-2.64,1.24,1.73
-2.79,1.28,1.78
-2.91,1.33,1.83
-3.02,1.38,1.87
-3.14,1.42,1.90
-3.39,1.40,1.98
-3.54,1.37,2.05
-3.71,1.38,2.03
-3.87,1.44,1.99
-4.03,1.50,1.95
-4.26,1.57,1.90
-4.58,1.64,1.83
-4.87,1.72,1.75
-5.14,1.79,1.68
-5.44,1.99,1.53
-5.57,2.07,1.47
-5.69,2.09,1.43
-5.85,2.10,1.39
-6.06,2.09,1.38
-6.28,2.08,1.32
-6.46,2.08,1.25
-6.60,2.09,1.19
-6.76,2.14,1.15
-6.97,2.24,1.10
-6.94,2.28,1.09
-6.89,2.37,1.03
-6.91,2.47,0.96
-6.99,2.58,0.87
